position_x;position_y;position_z;position_rad;in_vehicle;weather_region;weather_old;weather_new;wavyness;time_hours;time_minutes;quaternion_x;quaternion_y;quaternion_z;quaternion_w;uuid
-1385.757812;2603.441895;54.831772;1.563014;1;0;13;13;0.3;13;22;-0.023494;0.042867;0.703959;0.708557;35a7c02d-6331-4d2b-a11c-2f750291da5b
-1400.777954;2603.541748;55.123779;1.56181;1;0;13;13;0.3;13;24;-0.00386;0.028791;0.703914;0.709691;304e5e67-992a-48c7-b368-f6a127a143bb
-1415.9104;2603.626221;55.406532;1.563043;1;0;13;13;0.3;13;24;0.00621;0.001518;0.704333;0.709841;2d4282fa-b43d-444c-90a4-f9a1b39b4661
-1431.140991;2603.748291;55.401314;1.563109;1;0;13;13;0.3;13;25;0.001142;0.003321;0.704383;0.709812;4b7ccee5-1bfc-4b6f-b647-df450db9c159
-1446.402588;2603.838379;55.400593;1.566495;1;0;13;13;0.3;13;25;0.001983;0.002262;0.705582;0.708622;2309110e-eb83-416a-92b0-fc4806c56562
-1461.701294;2603.862061;55.400967;1.569287;1;0;13;13;0.3;13;26;0.001374;0.001097;0.706572;0.707639;b9d2d53e-b04a-4fee-b641-c6f938c531db
-1476.985474;2603.867676;55.402302;1.571221;1;0;13;13;0.3;13;26;0.001805;0.002125;0.707255;0.706953;306e0d52-bb22-48eb-98ea-31549bc7a5e3
-1492.376587;2603.864746;55.398163;1.571468;1;0;13;13;0.3;13;27;-0.00626;-0.004316;0.707316;0.706856;5424c465-8f6d-4cf7-8875-b138c2b0804a
-1507.571289;2603.855225;55.400482;1.571561;1;0;13;13;0.3;13;27;-0.005654;-0.00435;0.707355;0.706823;1e734526-f77f-40cb-b750-235e791dcc78
-1522.694214;2603.855225;55.402592;1.571627;1;0;13;13;0.3;13;30;0.00345;0.003804;0.707392;0.706803;b02eabe1-66ec-4bbe-90f2-23a9dbe7058d
-1537.482666;2603.851562;55.398624;1.571634;1;0;13;13;0.3;13;33;-0.002335;-0.0021;0.707399;0.706808;d2aeb797-cec9-4761-a7fd-ab55c98c2237
-1548.521851;2661.37793;55.399868;3.122716;1;0;13;13;0.3;13;46;0.000022;0.001086;0.999955;0.009438;0cf1a3aa-3ea2-4d9e-a0c2-5e6cd08c8814
-1548.731567;2646.287842;55.40078;-3.136756;1;0;13;13;0.3;13;48;-0.001378;0.004324;0.999987;-0.002424;76acabed-6146-4581-ac7c-5659b3277d2f
-1548.405273;2631.167969;55.400581;3.14077;1;0;13;13;0.3;13;49;0.00237;0.003314;0.999992;0.000419;b8f7a104-7856-4f22-b4bf-1890b9d9333f
-1548.423462;2615.975098;55.400604;3.14071;1;0;13;13;0.3;13;49;0.000632;0.003245;0.999994;0.000444;31f27b8b-2889-47fc-95b1-589717cd5073
-1548.437012;2600.616211;55.400448;3.140695;1;0;13;13;0.3;13;50;-0.000184;0.00265;0.999996;0.000448;cb88c0ca-be77-469e-90b6-33707f22c5c9
-1548.449829;2585.365723;55.3992;3.140691;1;0;13;13;0.3;13;50;-0.000008;-0.00426;0.999991;0.000451;ef953a15-aa97-4e58-80f9-fc89d7dd3bb0
-1548.463989;2570.134766;55.398899;3.140688;1;0;13;13;0.3;13;51;0.000007;-0.006947;0.999976;0.000452;f37d393c-ac8f-44a8-9d93-f955aef815ef
-1546.908447;2555.262939;55.40049;-2.797191;1;0;13;13;0.3;13;53;-0.003202;0.002146;0.985201;-0.171357;96637851-6e90-4057-bd25-d43b481abff1
-1534.289062;2548.782715;55.400047;-1.648029;1;0;13;13;0.3;13;55;-0.002919;-0.005421;-0.733873;0.679259;37a292a4-f36d-4c04-b08d-b21878d6e7ea
-1519.172729;2548.482422;55.400414;-1.577147;1;0;13;13;0.3;13;56;0.001298;-0.00179;-0.709347;0.704856;c1a1ce28-1334-4289-9b5b-7d36bbacc80a
-1504.093384;2548.806152;55.400684;-1.454895;1;0;13;13;0.3;13;58;0.003714;-0.001436;-0.664956;0.746872;ea7d0c62-9ba3-4b7d-9f86-a05b84ef1760
-1494.396606;2558.867432;55.400249;-0.193151;1;0;13;13;0.3;13;59;0.002106;0.006631;-0.096413;0.995317;9e262286-3b45-4a64-98ff-de8daeb457c2
-1493.091553;2573.834229;55.400356;0.00421;1;0;13;13;0.3;10;0;0.001911;-0.00032;0.002104;0.999996;8b984d30-9f39-45c9-93bb-ef0bc1f8787d
-1493.394165;2588.974854;55.401829;-0.00795;1;0;13;13;0.3;10;1;0.003825;0.001187;-0.00397;0.999984;38690f42-119b-4a1b-92c2-1ad578c19cbb
-1493.352295;2604.132812;55.399879;0.002122;1;0;13;13;0.3;10;1;0.002765;0.00054;0.001063;0.999995;8e7c9898-2dbb-4f78-956a-be4218f75786
-1493.398926;2619.297852;55.400944;0.003086;1;0;13;13;0.3;10;2;0.003268;-0.000199;0.001542;0.999993;c865c519-b6d5-4e3b-8347-b3343700ec5c
-1493.438354;2634.526123;55.397938;0.001345;1;0;13;13;0.3;10;2;-0.009213;0.000016;0.000672;0.999957;be5c9a9c-648f-4f42-a70b-b27b8b51d71d
-1493.439941;2649.685059;55.402618;0.000374;1;0;13;13;0.3;10;3;0.002951;-0.000005;0.000187;0.999996;4fb329d2-c239-4435-a187-ec871eeab108
-1493.439941;2663.046387;55.402874;0.000724;1;0;13;13;0.3;10;7;0.003197;0.0004;0.000363;0.999995;0bd7bd99-4135-47e5-88ba-37085a2d39da
-1423.379639;2609.452881;55.399826;0.012654;1;0;13;13;0.3;11;23;0.000847;0.000234;0.006327;0.99998;f38915d5-19eb-43e2-bb2a-d4a26675bd24
-1423.345825;2624.474365;55.400711;0.00169;1;0;13;13;0.3;11;27;0.003744;-0.000143;0.000844;0.999993;768bac1a-e70d-4e92-8824-334b340cb42d
-1423.37146;2639.586182;55.400391;0.001692;1;0;13;13;0.3;11;28;0.002138;-0.000035;0.000846;0.999997;66dc7b82-2875-473c-850a-72e1af8db992
-1423.39624;2654.702148;55.400288;0.001681;1;0;13;13;0.3;11;29;0.002802;-0.000009;0.000841;0.999996;38e8ed09-623e-401e-871b-6a5621718b13
-1426.429077;2669.005615;55.400135;0.560803;1;0;13;13;0.3;11;31;0.00016;0.002264;0.276742;0.960942;58e930ea-c403-46d6-b7ea-d81971d1a44b
-1440.09375;2673.91333;55.400322;1.542713;1;0;13;13;0.3;11;33;0.000426;0.001585;0.697108;0.716964;f90cc74c-df9e-4624-9e8d-46f1e38a18f0
-1455.144775;2673.762695;55.400311;1.592629;1;0;13;13;0.3;11;34;0.001253;0.001175;0.714783;0.699345;952ed4db-fbab-4fe7-b31a-39e874f17b73
-1470.259888;2673.695557;55.400372;1.560381;1;0;13;13;0.3;11;35;0.001142;0.001613;0.703414;0.710778;a5cd7021-d497-4d6a-8269-a0e8935a3a9b
-1485.419434;2673.851074;55.400372;1.561187;1;0;13;13;0.3;11;36;0.001336;0.001417;0.7037;0.710495;f8e40099-9585-4296-bf9d-484dd18bc9c4
-1500.544067;2673.821777;55.400372;1.573158;1;0;13;13;0.3;11;36;0.001448;0.001426;0.70794;0.70627;1fb138d0-a268-4e5f-b830-ed2ae02267b0
-1515.733521;2673.790283;55.400375;1.573161;1;0;13;13;0.3;11;37;0.001446;0.001422;0.707941;0.706269;accf077a-a43f-4e07-945d-1396eba9ce18
-1530.976074;2673.758545;55.400333;1.573162;1;0;13;13;0.3;11;38;0.001198;0.001186;0.707942;0.706269;c009dff0-b406-47d2-a4b4-986195283042
-1546.14209;2673.723145;55.40033;1.573162;1;0;13;13;0.3;11;38;0.001212;0.001203;0.707942;0.706269;2f84cac4-7a6c-40fe-9fd5-619a83c5f007
-1561.332886;2673.689453;55.40033;1.572853;1;0;13;13;0.3;11;39;0.001233;0.001174;0.707832;0.706378;11e641c5-6419-4a01-aca0-9335167ff1fd
-1576.488403;2673.659424;55.363564;1.572844;1;0;13;13;0.3;11;39;-0.000255;-0.000191;0.70783;0.706383;6de72944-f9a0-4509-9154-cbb231191a50
-1591.722046;2673.630859;54.985321;1.572842;1;0;13;13;0.3;11;40;-0.011562;-0.008951;0.707735;0.706327;dece9736-a13e-48a6-af94-7ed8ed826405
-1606.884644;2673.618164;54.384331;1.571024;1;0;13;13;0.3;11;40;-0.013254;-0.012974;0.707063;0.706907;8dd3a3e2-c70b-4413-a210-60af96b1c315
-1620.102173;2673.624512;54.154263;1.566799;1;0;13;13;0.3;11;44;0.003244;0.010404;0.705685;0.708442;8b85a5aa-cfc3-4434-8564-a3d208c6037e
